ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER
08031000201,Colorado,CO,Denver County,8,3537,3437,2878,1677,1766,2054,3437,2.421683037838276,1.601076932691214,1998,0.564885496,1020,0.296770439,137,0.066699124,517,0.15042188,46,0.027429934,409,0.142112578,201,0.05682782,664,0.187729714,0.174358974,9.236477322404372,76.902379999999980,0.560883265,6200.520334147457106,5188680.907846517860889,1296.000000000000000,0.733861835,1.946918255558654,1.087388280328469,2.969228386483944,6.762073711184291,4141.291940215936847,8.450009446908165,0
08031000202,Colorado,CO,Denver County,8,3996,3996,3072,1959,2100,2362,3996,2.170328519830741,2.157982435722457,1996,0.499499499,1084,0.271271271,146,0.061812024,570,0.142642643,125,0.063808065,525,0.170898438,223,0.055805806,582,0.145645646,0.233846154,9.195304644808740,77.008849999999981,0.569885455,5917.774140319643266,5485704.106843647547066,1380.000000000000000,0.657142857,1.897159075706234,1.032977568141065,2.789712771294260,4.101450068065567,3834.170936885649553,8.951268742309827,0
08031000301,Colorado,CO,Denver County,8,5169,5148,4239,2681,2859,3412,5148,0.858936638,0.86137403,836,0.161733411,698,0.135586636,38,0.011137163,428,0.083139083,54,0.020141738,94,0.022175041,274,0.053008319,772,0.149351906,0.181538462,8.928555191256830,77.183329999999998,0.509547817,9002.649763231009274,4513119.247833958826959,1869.000000000000000,0.653725079,0.89759791,0.743491028,2.601304563732254,11.606885533852504,2956.892133844868567,8.549526680792713,0
08031000302,Colorado,CO,Denver County,8,4963,4899,4041,2557,2620,3613,4943,0.91532585,0.578967925,1130,0.227684868,495,0.101041029,91,0.025186825,331,0.066963383,0,0,21,0.005196733,320,0.064477131,596,0.120088656,0.176410256,8.815959562841529,77.250680000000003,0.53226303,9183.162662389619072,4373095.379174345172942,1694.000000000000000,0.646564885,0.755780698,0.665771491,2.414004771042400,4.540818468424727,2520.314297218464162,8.259016062277398,0
08031000303,Colorado,CO,Denver County,8,5385,5317,4375,2835,2962,3809,5340,1.005479350532056,0.75606874,982,0.182358403,873,0.164190333,132,0.034654765,287,0.053745318,0,0,57,0.013028571,333,0.06183844,337,0.062581244,0.196923077,8.929520491803279,77.089309999999998,0.543883379,7381.531408750866831,4852792.964023232460022,1893.000000000000000,0.639095206,1.102288285491486,0.818968973,2.796175841852512,6.301512589823591,2981.802103787087162,8.714782372816002,0
08031000401,Colorado,CO,Denver County,8,3362,3362,2819,1655,1686,2516,3362,1.925183052563051,1.418345180821679,1496,0.44497323,804,0.239143367,73,0.029014308,309,0.091909578,41,0.024773414,329,0.116708053,133,0.039559786,432,0.128494943,0.203076923,9.098950546448092,76.991180000000000,0.522848701,6108.796182744801627,5142502.903224189765751,1468.000000000000000,0.870699881,1.582547578772043,0.950959499,2.758857251343018,5.625599229321305,3508.234201019936336,9.250133992443311,0
08031000403,Colorado,CO,Denver County,8,3860,3860,3134,2034,2044,2624,3836,1.621406382497720,1.415881919027452,1386,0.359067358,825,0.21373057,14,0.005335366,379,0.098800834,0,0,320,0.102105935,161,0.041709845,417,0.108031088,0.234871795,9.048139071038250,76.949910000000003,0.550732334,6056.510981385659761,5566670.262841001152992,1146.000000000000000,0.560665362,1.852474525525842,0.934040412,2.882548659931365,6.007714740313071,3458.422242045404801,9.641852222662267,0
08031000404,Colorado,CO,Denver County,8,2448,2363,2185,1513,1694,2051,2363,1.041354924680965,1.126202279468206,441,0.180147059,418,0.176893779,129,0.062896148,76,0.032162505,42,0.027759418,74,0.033867277,78,0.031862745,129,0.052696078,0.234871795,9.018070765027320,76.924639999999982,0.593588967,5708.900346447564516,7099477.505875298753381,311.000000000000000,0.183589138,3.001076598411331,0.950984748,3.109643510476447,10.004096833044825,3821.554227229546541,10.509678423485353,0
08031000501,Colorado,CO,Denver County,8,1886,1885,1527,855,974,1251,1877,0.986564903,0.660999385,374,0.198303287,275,0.145888594,42,0.033573141,100,0.053276505,0,0,17,0.01113294,87,0.046129374,304,0.161187699,0.185641026,8.750734972677590,77.216989999999981,0.579906477,8493.774560395728258,4512612.904114661738276,728.000000000000000,0.747433265,0.770644058,0.744407414,2.552328834542512,0,2345.443829284500225,8.414783840974961,0
08031000503,Colorado,CO,Denver County,8,2521,2521,1843,1229,1437,1400,2521,1.327213592042649,1.380662952887558,564,0.223720746,580,0.230067434,50,0.035714286,360,0.142800476,27,0.021969081,122,0.066196419,214,0.08488695,379,0.150337168,0.194871795,8.819780054644809,77.154280000000000,0.581700714,7419.851440356103922,4702677.028231646865606,456.000000000000000,0.317327766,0.947528356,0.797856494,2.667351991409721,0,2568.972633384943038,8.739867894226048,0
